City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
499,San Francisco,US,30.51000000000005,37.7749,-122.4194,The Clift Royal Sonesta Hotel
500,Cairns,AU,22.260000000000048,-16.9167,145.7667,Mantra Trilogy Cairns
505,Poum,NC,22.800000000000008,-20.2333,164.0167,Gîte kajeon
508,Ca Mau,VN,26.5,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
510,Burla,IN,29.69,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
512,Cheyenne,US,26.18000000000001,41.14,-104.8203,The Historic Plains Hotel & Restaurant
513,Katobu,ID,25.230000000000015,-4.9408,122.5276,La Ode Husein
515,Barão de Melgaço,BR,30.29000000000002,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
517,Misratah,LY,23.080000000000037,32.3754,15.0925,فندق الماسة
519,Aflao,TG,28.070000000000054,6.1160000000000005,1.1914,Hotel LeBenin
521,Puerto Colombia,CO,29.050000000000008,10.9878,-74.9547,Hotel El Emigrante
523,Shingū,JP,20.78000000000003,33.7333,135.9833,Shingu UI Hotel
524,Pong,TH,23.36000000000001,19.1493,100.2752,999 Hotel
525,Beausejour,CA,25.960000000000036,50.0622,-96.5167,The Superior Inn & Conference Centre
526,Tulum,MX,30.550000000000008,20.2167,-87.4667,Kin Ha Tulum
527,Mitsamiouli,KM,25.86000000000001,-11.3847,43.2844,Foyer ADM
