City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Port Hedland,-20.3167,118.5667,22.03000000000003,33,61,5.14,AU,2021-06-06 22:40:15
166,Katsuura,35.1333,140.3,22.33000000000004,90,97,0.51,JP,2021-06-06 22:40:17
167,Sovetskaya Gavan',48.9723,140.2878,9.480000000000018,85,67,2.18,RU,2021-06-06 22:40:18
168,Sisimiut,66.9395,-53.6735,6.0,83,100,1.41,GL,2021-06-06 22:40:22
169,Bethel,41.3712,-73.414,32.47000000000003,46,1,4.12,US,2021-06-06 22:40:25
170,Lebu,-37.6167,-73.65,9.330000000000041,79,91,1.88,CL,2021-06-06 22:40:27
171,eMkhomazi,-30.2067,30.7978,15.379999999999995,82,0,5.04,ZA,2021-06-06 22:40:29
172,Vila Franca do Campo,37.7167,-25.4333,18.230000000000018,86,100,0.82,PT,2021-06-06 22:36:09
173,Great Falls,47.5002,-111.3008,19.27000000000004,25,1,0.89,US,2021-06-06 22:40:11
174,Derzhavīnsk,51.1,66.3167,14.220000000000027,39,73,3.83,KZ,2021-06-06 22:40:34
175,Veinticinco de Mayo,-35.4323,-60.1727,11.700000000000045,63,95,0.89,AR,2021-06-06 22:40:36
176,Beloha,-25.1667,45.05,16.24000000000001,79,16,5.45,MG,2021-06-06 22:40:38
177,Mount Isa,-20.7333,139.5,15.870000000000005,41,0,1.54,AU,2021-06-06 22:40:39
178,Sarangani,5.4033,125.4636,28.07000000000005,74,99,1.97,PH,2021-06-06 22:39:35
179,Tomatlán,19.9333,-105.25,32.48000000000002,45,45,4.67,MX,2021-06-06 22:40:43
180,Aykhal,66.0,111.5,2.730000000000018,75,93,11.77,RU,2021-06-06 22:40:44
181,Broome,42.2506,-75.833,30.890000000000043,48,40,1.55,US,2021-06-06 22:39:17
182,Mumford,5.2618,-0.759,26.629999999999995,82,17,5.01,GH,2021-06-06 22:40:48
183,Artesia,33.8658,-118.0831,29.400000000000034,61,1,1.79,US,2021-06-06 22:39:08
184,Grootfontein,-19.5667,18.1167,7.760000000000048,61,0,2.06,NA,2021-06-06 22:40:51
185,Chumikan,54.7183,135.315,4.840000000000032,84,88,1.99,RU,2021-06-06 22:40:53
186,Paamiut,61.994,-49.6678,3.420000000000016,98,100,1.4,GL,2021-06-06 22:40:55
187,Chokurdakh,70.6333,147.9167,3.82000000000005,68,99,2.58,RU,2021-06-06 22:40:57
188,Corner Brook,48.9667,-57.9484,14.090000000000032,67,42,1.88,CA,2021-06-06 22:41:02
189,Iqaluit,63.7506,-68.5145,0.8500000000000227,86,75,2.68,CA,2021-06-06 22:40:10
190,Arrondissement de Vire,48.9167,-0.8333,11.660000000000025,93,87,1.16,FR,2021-06-06 22:41:06
191,Urucará,-2.5364,-57.76,27.090000000000032,70,88,0.98,BR,2021-06-06 22:41:07
192,Lima,-12.0432,-77.0282,18.140000000000043,83,90,3.09,PE,2021-06-06 22:31:33
193,Sørland,67.667,12.6934,11.230000000000018,84,99,3.25,NO,2021-06-06 22:41:11
194,Tateyama,34.9833,139.8667,22.860000000000014,89,93,0.91,JP,2021-06-06 22:41:12
195,Saint-Pierre,-21.3393,55.4781,22.82000000000005,85,75,10.8,RE,2021-06-06 22:41:14
